Timestamps,Seconds,Values
12/18/2020 18:19:56.882,22788.63,20.0724
12/18/2020 18:19:26.807,22758.555,20.0669
12/18/2020 18:19:18.888,22750.636,20.0611
12/18/2020 18:19:12.942,22744.69,20.054
12/18/2020 18:19:09.899,22741.647,20.0485
12/18/2020 18:18:31.877,22703.625,20.0197
12/18/2020 18:17:43.147,22654.895,20.0093
12/18/2020 18:17:37.001,22648.749,20.0055
12/18/2020 18:17:32.942,22644.69,20.0051
12/18/2020 18:17:24.722,22636.47,20.0033
12/18/2020 18:16:59.811,22611.559,20.0024
12/18/2020 18:16:52.170,22603.918,20.012
12/18/2020 18:16:28.805,22580.553,20.0459
12/18/2020 18:16:24.585,22576.333,20.0463
12/18/2020 18:16:16.554,22568.302,20.0502
12/18/2020 18:15:49.778,22541.526,20.0821
12/18/2020 18:15:28.076,22519.824,20.0965
12/18/2020 18:15:00.729,22492.477,20.0999
12/18/2020 18:14:55.478,22487.226,20.0979
12/18/2020 18:14:31.375,22463.123,20.055
12/18/2020 18:14:23.349,22455.097,20.0536
12/18/2020 18:14:17.591,22449.339,20.0523
12/18/2020 18:14:13.559,22445.307,20.05
12/18/2020 18:14:05.418,22437.166,20.0388
12/18/2020 18:14:02.183,22433.931,20.0288
12/18/2020 18:13:16.689,22388.437,20.0197
12/18/2020 18:12:50.905,22362.653,20.0026
12/18/2020 18:12:39.037,22350.785,19.9979
12/18/2020 18:12:21.270,22333.018,20.005
12/18/2020 18:12:15.019,22326.767,20.0172
12/18/2020 18:12:10.769,22322.517,20.0261
12/18/2020 18:11:57.252,22309,20.0539
12/18/2020 18:11:44.497,22296.245,20.0577
12/18/2020 18:10:24.662,22216.41,20.1379
12/18/2020 18:10:20.717,22212.465,20.1392
12/18/2020 18:10:14.593,22206.341,20.134
12/18/2020 18:10:08.558,22200.306,20.0755
12/18/2020 18:10:03.040,22194.788,20.0736
12/18/2020 18:09:57.806,22189.554,20.0738
12/18/2020 18:08:21.440,22093.188,20.0062
12/18/2020 18:08:13.408,22085.156,19.9852
12/18/2020 18:08:09.563,22081.311,19.9914
12/18/2020 18:08:01.531,22073.279,19.9682
