Timestamps,Seconds,Values
12/18/2020 9:50:11.515,0,57.1929
12/18/2020 9:50:16.515,5,57.1903
12/18/2020 9:50:19.343,7.828,57.1868
12/18/2020 9:50:23.468,11.953,57.1845
12/18/2020 9:50:37.436,25.921,57.1655
12/18/2020 9:50:43.482,31.967,57.1732
12/18/2020 9:50:51.799,40.284,57.162
12/18/2020 9:50:55.439,43.924,57.1698
12/18/2020 9:51:03.470,51.955,57.1526
12/18/2020 9:51:07.501,55.986,57.1451
12/18/2020 9:51:11.626,60.111,57.1431
12/18/2020 9:51:15.438,63.923,57.1384
12/18/2020 9:51:19.563,68.048,57.1438
12/18/2020 9:51:23.594,72.079,57.1439
12/18/2020 9:51:27.516,76.001,57.1587
12/18/2020 9:51:31.563,80.048,57.166
12/18/2020 9:51:35.469,83.954,57.1608
12/18/2020 9:51:39.500,87.985,57.1697
12/18/2020 9:51:43.515,92,57.1646
12/18/2020 9:51:48.531,97.016,57.1636
12/18/2020 9:51:51.563,100.048,57.1677
12/18/2020 9:51:55.485,103.97,57.1619
12/18/2020 9:51:59.719,108.204,57.1534
12/18/2020 9:52:03.547,112.032,57.1563
12/18/2020 9:52:07.578,116.063,57.1482
12/18/2020 9:52:11.594,120.079,57.1518
12/18/2020 9:52:15.406,123.891,57.1597
12/18/2020 9:52:19.531,128.016,57.1552
12/18/2020 9:52:23.765,132.25,57.1472
12/18/2020 9:52:27.593,136.078,57.1594
12/18/2020 9:52:31.421,139.906,57.16
12/18/2020 9:52:35.437,143.922,57.1546
12/18/2020 9:52:39.452,147.937,57.1501
12/18/2020 9:52:43.577,152.062,57.153
12/18/2020 9:52:47.608,156.093,57.1431
12/18/2020 9:52:51.430,159.915,57.1446
12/18/2020 9:52:55.445,163.93,57.1378
12/18/2020 9:53:18.882,187.367,57.118
12/18/2020 9:53:27.022,195.507,57.0989
12/18/2020 9:53:29.038,197.523,57.0952
12/18/2020 9:53:33.069,201.554,57.1001
12/18/2020 9:53:36.881,205.366,57.0948
12/18/2020 9:53:41.006,209.491,57.0858
12/18/2020 9:53:45.037,213.522,57.0914
12/18/2020 9:53:49.068,217.553,57.1012
12/18/2020 9:53:52.882,221.367,57.1044
12/18/2020 9:53:57.116,225.601,57.1066
12/18/2020 9:54:00.944,229.429,57.105
12/18/2020 9:54:04.975,233.46,57.1099
12/18/2020 9:54:09.100,237.585,57.0996
12/18/2020 9:54:12.928,241.413,57.1223
12/18/2020 9:54:16.943,245.428,57.1325
12/18/2020 9:54:20.974,249.459,57.1467
12/18/2020 9:54:25.630,254.115,57.1582
12/18/2020 9:54:29.052,257.537,57.1634
12/18/2020 9:54:32.880,261.365,57.1707
12/18/2020 9:54:37.005,265.49,57.1667
12/18/2020 9:54:40.942,269.427,57.178
12/18/2020 9:54:49.270,277.755,57.1778
12/18/2020 9:54:53.103,281.588,57.1838
12/18/2020 9:54:56.916,285.401,57.1877
12/18/2020 9:55:00.947,289.432,57.2051
12/18/2020 9:55:04.993,293.478,57.2041
12/18/2020 9:55:09.024,297.509,57.2163
12/18/2020 9:55:14.118,302.603,57.2259
12/18/2020 9:55:22.633,311.118,57.2384
12/18/2020 9:55:33.070,321.555,57.2319
12/18/2020 9:55:37.101,325.586,57.2383
12/18/2020 9:55:42.117,330.602,57.2281
12/18/2020 9:55:44.945,333.43,57.2372
12/18/2020 9:55:49.070,337.555,57.2297
12/18/2020 9:55:53.102,341.587,57.2292
12/18/2020 9:55:57.133,345.618,57.2294
12/18/2020 9:56:01.164,349.649,57.2375
12/18/2020 9:56:05.992,354.477,57.22
12/18/2020 9:56:09.023,357.508,57.2183
12/18/2020 9:56:13.054,361.539,57.2089
12/18/2020 9:56:17.070,365.555,57.2064
12/18/2020 9:56:21.085,369.57,57.1979
12/18/2020 9:56:25.023,373.508,57.1793
12/18/2020 9:56:30.132,378.617,57.1843
12/18/2020 9:56:33.069,381.554,57.1829
12/18/2020 9:56:37.085,385.57,57.1796
12/18/2020 9:56:47.225,395.71,57.1729
12/18/2020 9:56:49.053,397.538,57.1738
12/18/2020 9:56:57.495,405.98,57.1653
12/18/2020 9:57:01.120,409.605,57.1494
12/18/2020 9:57:05.245,413.73,57.1533
12/18/2020 9:57:09.276,417.761,57.1509
12/18/2020 9:57:13.120,421.605,57.1575
12/18/2020 9:57:17.151,425.636,57.1396
12/18/2020 9:57:22.166,430.651,57.1276
12/18/2020 9:57:25.197,433.682,57.1173
12/18/2020 9:57:29.025,437.51,57.1072
12/18/2020 9:57:33.150,441.635,57.0941
12/18/2020 9:57:37.072,445.557,57.0938
12/18/2020 9:57:41.197,449.682,57.0929
12/18/2020 9:57:45.228,453.713,57.0882
12/18/2020 9:57:49.243,457.728,57.0969
12/18/2020 9:58:05.634,474.119,57.0885
12/18/2020 9:58:09.056,477.541,57.0859
12/18/2020 9:58:11.681,480.166,57.0966
12/18/2020 9:58:15.509,483.994,57.0874
12/18/2020 9:58:23.649,492.134,57.0837
12/18/2020 9:58:27.665,496.15,57.0831
12/18/2020 9:58:31.696,500.181,57.0792
12/18/2020 9:58:35.508,503.993,57.0843
12/18/2020 9:58:39.539,508.024,57.081
12/18/2020 9:58:43.648,512.133,57.0863
12/18/2020 9:58:47.883,516.368,57.0926
12/18/2020 9:58:52.700,521.185,57.0981
12/18/2020 9:58:55.528,524.013,57.1
12/18/2020 9:59:00.544,529.029,57.0981
12/18/2020 9:59:03.575,532.06,57.1039
12/18/2020 9:59:07.684,536.169,57.1031
12/18/2020 9:59:19.559,548.044,57.1076
12/18/2020 9:59:23.574,552.059,57.1054
12/18/2020 9:59:28.886,557.371,51.3562
12/18/2020 9:59:31.730,560.215,51.1036
12/18/2020 9:59:36.745,565.23,50.7596
12/18/2020 9:59:43.589,572.074,50.3278
12/18/2020 9:59:48.714,577.199,49.9984
12/18/2020 9:59:51.732,580.217,49.8137
12/18/2020 9:59:55.560,584.045,49.5691
12/18/2020 10:00:00.575,589.06,49.1981
12/18/2020 10:00:03.606,592.091,49.0581
12/18/2020 10:00:07.637,596.122,48.7986
12/18/2020 10:00:11.668,600.153,48.5501
12/18/2020 10:00:24.808,613.293,47.7259
12/18/2020 10:00:36.605,625.09,47.0317
12/18/2020 10:00:40.636,629.121,46.7886
12/18/2020 10:00:44.854,633.339,46.5474
12/18/2020 10:00:52.812,641.297,46.109
12/18/2020 10:00:56.640,645.125,45.8839
12/18/2020 10:01:00.578,649.063,45.6662
12/18/2020 10:01:04.703,653.188,45.4392
12/18/2020 10:01:08.921,657.406,45.2123
12/18/2020 10:01:12.952,661.437,44.9942
12/18/2020 10:01:17.780,666.265,44.7376
12/18/2020 10:01:20.608,669.093,44.5845
12/18/2020 10:01:24.639,673.124,44.379
12/18/2020 10:01:28.764,677.249,44.175
12/18/2020 10:01:32.811,681.296,43.9625
12/18/2020 10:01:36.639,685.124,43.7676
12/18/2020 10:01:40.654,689.139,43.5663
12/18/2020 10:01:44.670,693.155,43.3627
12/18/2020 10:01:48.701,697.186,43.1761
12/18/2020 10:01:52.719,701.204,42.9784
12/18/2020 10:01:56.640,705.125,42.791
12/18/2020 10:02:00.656,709.141,42.5948
12/18/2020 10:02:04.890,713.375,42.3923
12/18/2020 10:02:08.921,717.406,42.2069
12/18/2020 10:02:12.765,721.25,42.0285
12/18/2020 10:02:16.780,725.265,41.8405
12/18/2020 10:02:20.593,729.078,41.6569
12/18/2020 10:02:24.624,733.109,41.4778
12/18/2020 10:02:28.764,737.249,41.2978
12/18/2020 10:02:32.795,741.28,41.1167
12/18/2020 10:02:36.608,745.093,40.9248
12/18/2020 10:02:40.639,749.124,40.7484
12/18/2020 10:02:44.654,753.139,40.5737
12/18/2020 10:02:48.763,757.248,40.3995
12/18/2020 10:02:52.800,761.285,40.2229
12/18/2020 10:02:56.628,765.113,40.063
12/18/2020 10:03:00.581,769.066,39.8866
12/18/2020 10:03:04.705,773.19,39.7262
12/18/2020 10:03:08.737,777.222,39.5586
12/18/2020 10:03:12.752,781.237,39.3665
12/18/2020 10:03:17.752,786.237,39.1732
12/18/2020 10:03:20.767,789.252,39.0518
12/18/2020 10:03:24.705,793.19,38.8972
12/18/2020 10:03:28.736,797.221,38.7355
12/18/2020 10:03:32.751,801.236,38.5715
12/18/2020 10:03:36.579,805.064,38.4179
12/18/2020 10:03:40.595,809.08,38.2594
12/18/2020 10:03:44.829,813.314,38.0918
12/18/2020 10:03:48.766,817.251,37.9429
12/18/2020 10:03:52.784,821.269,37.7726
12/18/2020 10:03:56.831,825.316,37.6098
12/18/2020 10:04:00.643,829.128,37.4646
12/18/2020 10:04:04.659,833.144,37.3101
12/18/2020 10:04:08.690,837.175,37.1577
12/18/2020 10:04:12.799,841.284,37.0078
12/18/2020 10:04:16.627,845.112,36.8615
12/18/2020 10:04:20.955,849.44,36.7052
12/18/2020 10:04:25.658,854.143,36.5249
12/18/2020 10:04:28.767,857.252,36.398
12/18/2020 10:04:32.798,861.283,36.2596
12/18/2020 10:04:36.626,865.111,36.1189
12/18/2020 10:04:40.642,869.127,35.9753
12/18/2020 10:04:44.860,873.345,35.8292
12/18/2020 10:04:54.804,883.289,35.4676
12/18/2020 10:04:56.835,885.32,35.396
12/18/2020 10:05:00.663,889.148,35.2599
12/18/2020 10:05:04.678,893.163,35.1178
12/18/2020 10:05:08.694,897.179,34.9776
12/18/2020 10:05:12.725,901.21,34.836
12/18/2020 10:05:16.850,905.335,34.695
12/18/2020 10:05:20.678,909.163,34.5639
