Timestamps,Seconds,Values
2021-02-09 09:09:59.514,1796.154,27.5932
2021-02-09 09:09:58.472,1795.112,27.6012
2021-02-09 09:09:57.534,1794.174,27.6081
2021-02-09 09:09:56.492,1793.132,27.5978
2021-02-09 09:09:55.435,1792.075,27.6013
2021-02-09 09:09:54.502,1791.142,27.5859
2021-02-09 09:09:53.450,1790.09,27.5878
2021-02-09 09:09:52.517,1789.157,27.5877
2021-02-09 09:09:51.475,1788.115,27.5945
2021-02-09 09:09:49.485,1786.125,27.587
2021-02-09 09:09:48.442,1785.082,27.6036
2021-02-09 09:09:46.463,1783.103,27.598
2021-02-09 09:09:46.463,1783.103,27.598
2021-02-09 09:09:44.471,1781.111,27.6004
2021-02-09 09:09:43.523,1780.163,27.5885
2021-02-09 09:09:42.488,1779.128,27.5893
2021-02-09 09:09:41.445,1778.085,27.599
2021-02-09 09:09:40.497,1777.137,27.5851
2021-02-09 09:09:39.455,1776.095,27.6055
2021-02-09 09:09:38.507,1775.147,27.6237
2021-02-09 09:09:37.465,1774.105,27.591
2021-02-09 09:09:36.526,1773.166,27.5946
2021-02-09 09:09:35.484,1772.124,27.5887
2021-02-09 09:09:34.450,1771.09,27.6047
2021-02-09 09:09:33.497,1770.137,27.6046
2021-02-09 09:09:32.455,1769.095,27.586
2021-02-09 09:09:31.523,1768.163,27.6099
2021-02-09 09:09:30.480,1767.12,27.6036
2021-02-09 09:09:29.531,1766.171,27.6038
2021-02-09 09:09:28.488,1765.128,27.6093
2021-02-09 09:09:27.446,1764.086,27.6013
2021-02-09 09:09:26.513,1763.153,27.6107
2021-02-09 09:09:25.471,1762.111,27.585
2021-02-09 09:09:24.529,1761.169,27.6036
2021-02-09 09:09:23.486,1760.126,27.6004
2021-02-09 09:09:22.444,1759.084,27.5995
2021-02-09 09:09:21.491,1758.131,27.5942
2021-02-09 09:09:20.463,1757.103,27.608
2021-02-09 09:09:19.514,1756.154,27.6092
2021-02-09 09:09:18.471,1755.111,27.6014
2021-02-09 09:09:17.524,1754.164,27.6253
2021-02-09 09:09:16.482,1753.122,27.6009
2021-02-09 09:09:15.439,1752.079,27.601
2021-02-09 09:09:14.506,1751.146,27.613
2021-02-09 09:09:13.462,1750.102,27.627
2021-02-09 09:09:12.513,1749.153,27.6195
2021-02-09 09:09:11.471,1748.111,27.62
2021-02-09 09:09:10.534,1747.174,27.6213
2021-02-09 09:09:09.491,1746.131,27.6274
2021-02-09 09:09:08.449,1745.089,27.6191
2021-02-09 09:09:07.501,1744.141,27.6302
2021-02-09 09:09:06.471,1743.111,27.6392
2021-02-09 09:09:05.521,1742.161,27.6303
2021-02-09 09:09:04.478,1741.118,27.6348
2021-02-09 09:09:03.435,1740.075,27.6254
2021-02-09 09:09:02.500,1739.14,27.6329
2021-02-09 09:09:01.457,1738.097,27.6323
2021-02-09 09:09:00.508,1737.148,27.6447
2021-02-09 09:08:59.465,1736.105,27.6381
2021-02-09 09:08:58.528,1735.168,27.6608
2021-02-09 09:08:57.484,1734.124,27.6455
2021-02-09 09:08:56.442,1733.082,27.645
2021-02-09 09:08:55.508,1732.148,27.6446
2021-02-09 09:08:54.466,1731.106,27.654
2021-02-09 09:08:53.518,1730.158,27.6603
2021-02-09 09:08:52.476,1729.116,27.6415
2021-02-09 09:08:51.543,1728.183,27.6452
2021-02-09 09:08:50.501,1727.141,27.6523
2021-02-09 09:08:49.458,1726.098,27.651
2021-02-09 09:08:48.509,1725.149,27.6465
2021-02-09 09:08:47.471,1724.111,27.6776
2021-02-09 09:08:46.534,1723.174,27.645
2021-02-09 09:08:45.491,1722.131,27.6721
2021-02-09 09:08:44.449,1721.089,27.6589
2021-02-09 09:08:43.501,1720.141,27.6535
2021-02-09 09:08:42.459,1719.099,27.6644
2021-02-09 09:08:41.525,1718.165,27.6616
2021-02-09 09:08:40.483,1717.123,27.6787
2021-02-09 09:08:39.535,1716.175,27.656
2021-02-09 09:08:38.493,1715.133,27.6652
2021-02-09 09:08:37.529,1714.169,27.6627
2021-02-09 09:08:36.486,1713.126,27.6625
2021-02-09 09:08:35.450,1712.09,27.6541
2021-02-09 09:08:34.500,1711.14,27.6618
2021-02-09 09:08:33.469,1710.109,27.6607
2021-02-09 09:08:32.521,1709.161,27.6489
2021-02-09 09:08:31.478,1708.118,27.6417
2021-02-09 09:08:30.529,1707.169,27.647
2021-02-09 09:08:29.503,1706.143,27.6676
2021-02-09 09:08:28.459,1705.099,27.6647
2021-02-09 09:08:27.509,1704.149,27.6466
2021-02-09 09:08:26.466,1703.106,27.6433
2021-02-09 09:08:25.532,1702.172,27.6424
2021-02-09 09:08:24.489,1701.129,27.6474
2021-02-09 09:08:23.445,1700.085,27.6567
2021-02-09 09:08:22.496,1699.136,27.6558
2021-02-09 09:08:21.454,1698.094,27.644
2021-02-09 09:08:20.516,1697.156,27.6504
2021-02-09 09:08:19.474,1696.114,27.6607
2021-02-09 09:08:18.541,1695.181,27.6494
2021-02-09 09:08:17.500,1694.14,27.6506
2021-02-09 09:08:16.457,1693.097,27.6583
2021-02-09 09:08:14.465,1691.105,27.6395
2021-02-09 09:08:12.490,1689.13,27.6561
2021-02-09 09:08:11.448,1688.088,27.6513
2021-02-09 09:08:09.456,1686.096,27.6425
2021-02-09 09:08:08.519,1685.159,27.6424
2021-02-09 09:08:07.476,1684.116,27.6434
2021-02-09 09:08:06.527,1683.167,27.6549
2021-02-09 09:08:05.485,1682.125,27.6422
2021-02-09 09:08:04.452,1681.092,27.6472
2021-02-09 09:08:03.504,1680.144,27.6506
2021-02-09 09:08:02.461,1679.101,27.6426
2021-02-09 09:08:01.527,1678.167,27.6509
2021-02-09 09:08:00.484,1677.124,27.6452
2021-02-09 09:07:59.440,1676.08,27.6428
2021-02-09 09:07:58.508,1675.148,27.6507
2021-02-09 09:07:57.464,1674.104,27.6267
2021-02-09 09:07:56.511,1673.151,27.6397
2021-02-09 09:07:55.469,1672.109,27.6627
2021-02-09 09:07:54.536,1671.176,27.6446
2021-02-09 09:07:53.494,1670.134,27.6523
2021-02-09 09:07:52.457,1669.097,27.6627
2021-02-09 09:07:51.508,1668.148,27.6389
2021-02-09 09:07:50.465,1667.105,27.6394
2021-02-09 09:07:49.531,1666.171,27.6584
2021-02-09 09:07:48.489,1665.129,27.6412
2021-02-09 09:07:47.445,1664.085,27.6362
2021-02-09 09:07:46.502,1663.142,27.647
2021-02-09 09:07:45.458,1662.098,27.6389
2021-02-09 09:07:44.520,1661.16,27.6578
2021-02-09 09:07:43.477,1660.117,27.6486
2021-02-09 09:07:42.528,1659.168,27.6397
2021-02-09 09:07:41.487,1658.127,27.638
2021-02-09 09:07:40.445,1657.085,27.6259
2021-02-09 09:07:39.511,1656.151,27.6347
2021-02-09 09:07:38.468,1655.108,27.6357
2021-02-09 09:07:37.517,1654.157,27.6386
2021-02-09 09:07:36.475,1653.115,27.6444
2021-02-09 09:07:35.539,1652.179,27.6446
2021-02-09 09:07:34.496,1651.136,27.6286
2021-02-09 09:07:33.452,1650.092,27.6408
2021-02-09 09:07:32.515,1649.155,27.6445
2021-02-09 09:07:31.473,1648.113,27.6594
2021-02-09 09:07:30.525,1647.165,27.656
2021-02-09 09:07:29.483,1646.123,27.6412
2021-02-09 09:07:28.440,1645.08,27.6603
2021-02-09 09:07:27.506,1644.146,27.6518
2021-02-09 09:07:26.448,1643.088,27.6408
2021-02-09 09:07:25.513,1642.153,27.658
2021-02-09 09:07:24.470,1641.11,27.6643
2021-02-09 09:07:23.522,1640.162,27.6457
2021-02-09 09:07:22.495,1639.135,27.6627
2021-02-09 09:07:21.452,1638.092,27.6446
2021-02-09 09:07:20.499,1637.139,27.6543
2021-02-09 09:07:19.456,1636.096,27.645
2021-02-09 09:07:18.522,1635.162,27.6584
2021-02-09 09:07:17.480,1634.12,27.6462
2021-02-09 09:07:16.544,1633.184,27.6749
2021-02-09 09:07:15.499,1632.139,27.6724
2021-02-09 09:07:14.457,1631.097,27.662
2021-02-09 09:07:13.509,1630.149,27.6717
2021-02-09 09:07:12.467,1629.107,27.671
2021-02-09 09:07:11.534,1628.174,27.6753
2021-02-09 09:07:10.492,1627.132,27.6675
2021-02-09 09:07:09.449,1626.089,27.675
2021-02-09 09:07:08.496,1625.136,27.6946
2021-02-09 09:07:07.454,1624.094,27.7019
2021-02-09 09:07:06.522,1623.162,27.6815
2021-02-09 09:07:05.479,1622.119,27.6894
2021-02-09 09:07:04.437,1621.077,27.6984
2021-02-09 09:07:03.499,1620.139,27.6897
2021-02-09 09:07:02.458,1619.098,27.6941
2021-02-09 09:07:01.510,1618.15,27.6909
2021-02-09 09:07:00.468,1617.108,27.7043
2021-02-09 09:06:59.534,1616.174,27.7089
2021-02-09 09:06:58.491,1615.131,27.6905
2021-02-09 09:06:57.449,1614.089,27.7021
2021-02-09 09:06:56.511,1613.151,27.7314
2021-02-09 09:06:55.467,1612.107,27.7056
2021-02-09 09:06:54.518,1611.158,27.6961
2021-02-09 09:06:53.475,1610.115,27.7161
2021-02-09 09:06:52.434,1609.074,27.7182
2021-02-09 09:06:51.486,1608.126,27.6995
2021-02-09 09:06:50.442,1607.082,27.6917
2021-02-09 09:06:49.510,1606.15,27.7064
2021-02-09 09:06:48.466,1605.106,27.7022
2021-02-09 09:06:46.476,1603.116,27.7084
2021-02-09 09:06:45.449,1602.089,27.7148
2021-02-09 09:06:43.452,1600.092,27.7058
2021-02-09 09:06:41.477,1598.117,27.7207
2021-02-09 09:06:40.434,1597.074,27.7156
2021-02-09 09:06:40.434,1597.074,27.7156
2021-02-09 09:06:38.443,1595.083,27.7115
2021-02-09 09:06:37.510,1594.15,27.7084
2021-02-09 09:06:36.468,1593.108,27.714
2021-02-09 09:06:35.524,1592.164,27.6963
2021-02-09 09:06:34.481,1591.121,27.6901
2021-02-09 09:06:33.439,1590.079,27.732
2021-02-09 09:06:32.502,1589.142,27.6914
2021-02-09 09:06:31.459,1588.099,27.704
2021-02-09 09:06:30.510,1587.15,27.7137
2021-02-09 09:06:29.465,1586.105,27.7158
2021-02-09 09:06:28.423,1585.063,27.727
2021-02-09 09:06:27.490,1584.13,27.7221
2021-02-09 09:06:26.439,1583.079,27.7279
2021-02-09 09:06:25.506,1582.146,27.7031
2021-02-09 09:06:24.464,1581.104,27.7125
2021-02-09 09:06:23.515,1580.155,27.7215
2021-02-09 09:06:22.487,1579.127,27.7472
2021-02-09 09:06:21.444,1578.084,27.7321
2021-02-09 09:06:20.494,1577.134,27.7331
2021-02-09 09:06:19.449,1576.089,27.7586
2021-02-09 09:06:18.512,1575.152,27.7489
2021-02-09 09:06:17.469,1574.109,27.7222
2021-02-09 09:06:16.425,1573.065,27.7436
2021-02-09 09:06:15.493,1572.133,27.7542
2021-02-09 09:06:14.445,1571.085,27.738
2021-02-09 09:06:13.513,1570.153,27.7671
2021-02-09 09:06:12.469,1569.109,27.7454
2021-02-09 09:06:11.521,1568.161,27.7439
2021-02-09 09:06:10.478,1567.118,27.7531
2021-02-09 09:06:09.435,1566.075,27.7504
2021-02-09 09:06:08.502,1565.142,27.7434
2021-02-09 09:06:07.459,1564.099,27.7718
2021-02-09 09:06:06.506,1563.146,27.765
2021-02-09 09:06:05.478,1562.118,27.7705
2021-02-09 09:06:04.436,1561.076,27.781
2021-02-09 09:06:03.486,1560.126,27.7849
2021-02-09 09:06:02.443,1559.083,27.7866
2021-02-09 09:06:01.510,1558.15,27.7722
2021-02-09 09:06:00.467,1557.107,27.7605
2021-02-09 09:05:59.519,1556.159,27.7721
2021-02-09 09:05:58.477,1555.117,27.7832
2021-02-09 09:05:57.435,1554.075,27.7825
2021-02-09 09:05:56.495,1553.135,27.7898
2021-02-09 09:05:55.450,1552.09,27.782
2021-02-09 09:05:54.513,1551.153,27.7903
2021-02-09 09:05:53.471,1550.111,27.7919
2021-02-09 09:05:52.522,1549.162,27.806
2021-02-09 09:05:51.480,1548.12,27.8081
2021-02-09 09:05:50.437,1547.077,27.7803
2021-02-09 09:05:49.505,1546.145,27.8
2021-02-09 09:05:48.463,1545.103,27.8026
2021-02-09 09:05:47.514,1544.154,27.804
2021-02-09 09:05:46.472,1543.112,27.8108
2021-02-09 09:05:45.430,1542.07,27.8143
2021-02-09 09:05:44.497,1541.137,27.8139
2021-02-09 09:05:43.455,1540.095,27.8195
2021-02-09 09:05:42.502,1539.142,27.8209
2021-02-09 09:05:41.460,1538.1,27.8137
2021-02-09 09:05:40.528,1537.168,27.7974
2021-02-09 09:05:39.483,1536.123,27.8117
2021-02-09 09:05:38.436,1535.076,27.8248
